N	i2	i6	i10	start	raiz
----------------------------------------------------------------------
10.87 	6 	7 	7 	0.66 	3.29696830437
17.14 	5 	7 	7 	17.09 	4.1400483089
26.33 	4 	5 	6 	2.51 	5.13127664427
30.88 	6 	7 	8 	30.82 	5.55697759578
43.36 	6 	7 	7 	29.7 	6.58483105326
47.73 	4 	5 	6 	11.54 	6.90869017977
49.96 	5 	6 	7 	25.58 	7.06823881883
52.74 	6 	7 	8 	37.21 	7.26223106215
55.93 	6 	7 	8 	37.28 	7.47863623932
71.93 	5 	6 	7 	2.31 	8.48115558164
79.4 	4 	5 	6 	15.67 	8.91066776398
149.12 	7 	8 	8 	92.63 	12.211470018
156.33 	7 	8 	8 	110.25 	12.5031995905
161.02 	4 	5 	6 	24.05 	12.6893656264
162.55 	7 	8 	9 	127.72 	12.7495097945
167.19 	6 	7 	8 	71.16 	12.9301972143
171.18 	6 	8 	8 	78.37 	13.0835774924
183.91 	7 	8 	9 	132.67 	13.5613421165
187.93 	7 	9 	9 	186.36 	13.7087563258
189.74 	7 	8 	8 	113.19 	13.7746143322
192.2 	7 	8 	9 	149.18 	13.8636214605
205.88 	4 	5 	6 	28.05 	14.3485190873
214.64 	7 	8 	9 	125.87 	14.6505972574
222.51 	6 	8 	8 	107.21 	14.9167690872
235.3 	7 	8 	8 	140.87 	15.339491517
235.51 	4 	6 	6 	30.33 	15.3463350674
238.48 	7 	8 	9 	170.97 	15.442797674
243.76 	7 	8 	8 	109.81 	15.612815249
281.91 	5 	6 	7 	49.42 	16.7901756989
291.71 	7 	8 	9 	230.47 	17.0795198996
292.15 	6 	7 	8 	102.17 	17.0923959701
300.22 	7 	8 	9 	200.32 	17.3268577648
313.34 	7 	8 	9 	181.9 	17.701412373
319.26 	6 	7 	8 	116.84 	17.8678482196
326.18 	6 	7 	8 	112.92 	18.0604540364
334.15 	7 	8 	8 	167.53 	18.2797702393
348.9 	7 	9 	9 	266.26 	18.6788650619
354.02 	6 	7 	8 	107.71 	18.8154192087
377.72 	4 	5 	5 	14.25 	19.4350199382
412.37 	4 	5 	6 	36.87 	20.3068953806
422.36 	7 	8 	9 	187.05 	20.5513989791
425.36 	3 	4 	5 	18.35 	20.6242575624
436.24 	7 	9 	9 	307.44 	20.8863591849
439.82 	5 	6 	6 	46.63 	20.9718859429
448.17 	8 	9 	9 	353.32 	21.1700259801
448.88 	8 	9 	10 	438.39 	21.1867883361
452.42 	6 	7 	7 	78.05 	21.2701669011
468.18 	8 	9 	10 	429.3 	21.6374675043
479.86 	7 	8 	9 	186.53 	21.9057070189
480.63 	8 	9 	10 	457.24 	21.9232753027
486.8 	8 	8 	9 	288.9 	22.0635445928
487.31 	7 	8 	8 	195.16 	22.0750990938
511.41 	7 	8 	9 	232.6 	22.6143759587
519.23 	7 	8 	9 	309.48 	22.7866188804
534.37 	8 	9 	10 	528.92 	23.1164443633
536.53 	8 	9 	10 	455.19 	23.1631172341
542.79 	8 	9 	10 	496.88 	23.2978539784
551.31 	8 	9 	9 	414.94 	23.4799914821
563.26 	7 	8 	9 	297.2 	23.7330992498
564.12 	5 	6 	6 	54.65 	23.7512104955
566.23 	8 	9 	10 	518.62 	23.7955878263
582.27 	8 	9 	9 	343.94 	24.1302714448
597.01 	6 	6 	7 	77.85 	24.4337880813
607.26 	6 	7 	8 	157.49 	24.6426459618
611.36 	4 	5 	6 	34.31 	24.7256951368
616.9 	8 	9 	10 	549.86 	24.837471691
625.07 	8 	9 	9 	429.51 	25.0013999608
637.24 	7 	8 	9 	276.36 	25.2436130536
652.68 	6 	7 	8 	4.44 	25.5476026273
653.97 	8 	9 	10 	483.08 	25.5728371519
655.87 	6 	7 	8 	125.6 	25.6099590004
679.09 	8 	9 	9 	403.28 	26.0593553259
683.15 	7 	8 	8 	222.07 	26.1371383284
703.61 	7 	8 	9 	342.24 	26.5256479657
704.34 	8 	9 	9 	441.71 	26.5394046655
745.98 	7 	8 	8 	200.53 	27.312634439
747.17 	5 	6 	7 	69.09 	27.3344105479
759.82 	8 	9 	10 	503.62 	27.5648326677
775.48 	7 	8 	9 	399.01 	27.8474415342
776.54 	8 	9 	9 	446.32 	27.8664673039
804.42 	5 	6 	7 	93.65 	28.3622989195
815.95 	8 	8 	9 	394.27 	28.5648385257
818.85 	6 	7 	8 	143.6 	28.6155552104
855.07 	8 	9 	10 	637.69 	29.2415799847
865.84 	8 	9 	10 	618.33 	29.4251593029
873.4 	8 	9 	10 	720.53 	29.5533416046
889.48 	8 	8 	9 	359.55 	29.8241512872
895.97 	7 	8 	9 	309.64 	29.9327579752
906.5 	6 	7 	8 	136.39 	30.1081384346
908.62 	7 	8 	9 	280.56 	30.1433243024
916.67 	6 	7 	7 	124.94 	30.2765585891
919.2 	6 	7 	8 	172.99 	30.3183112986
920.39 	8 	9 	10 	667.7 	30.3379300546
932.23 	7 	7 	8 	206.36 	30.5324417628
932.61 	9 	10 	10 	867.48 	30.5386640179
951.39 	9 	9 	10 	684.95 	30.8446105503
970.79 	8 	9 	10 	762.79 	31.1575031092
982.0 	8 	9 	10 	657.04 	31.336879232
982.17 	8 	9 	9 	524.53 	31.3395915736
990.53 	9 	10 	10 	930.61 	31.4726865711

        Média -> D2:7.000, D6:8.000, D10:9.000
Desvio padrão -> D2:1.329, D6:1.298, D10:1.289

obs.: DX equivale ao numero de casas decimais na aproximação
